group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified
production,assemblers-and-fabricators,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,Assemblers and Fabricators,"$45,450     per year
                                        $21.85     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"1,799,500",1% (Slower than average),"16,700","177,500","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,heating-air-conditioning-and-refrigeration-mechanics-and-installers,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","$61,010     per year
                                        $29.33     per hour",Postsecondary nondegree award,None,Long-term on-the-job training,"440,900",11% (Much faster than average),"48,200","40,600","$50,980",3%,"August 27, 2026"
construction-and-extraction,sheet-metal-workers,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,Sheet Metal Workers,"$61,800     per year
                                        $29.71     per hour",High school diploma or equivalent,None,Apprenticeship,"131,100",3% (As fast as average),"3,300","9,800","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,hand-laborers-and-material-movers,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,Hand Laborers and Material Movers,"$38,220     per year
                                        $18.38     per hour",No formal educational credential,None,Short-term on-the-job training,"6,917,800",4% (As fast as average),"288,900","904,200","$50,980",3%,"August 27, 2026"
production,painting-and-coating-workers,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,Painting and Coating Workers,"$48,060     per year
                                        $23.10     per hour",See How to Become One,None,Moderate-term on-the-job training,"173,000",2% (Slower than average),"4,200","16,100","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,flight-attendants,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,Flight Attendants,"$63,580     per year",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,"133,700",9% (Much faster than average),"11,800","18,500","$50,980",3%,"August 27, 2026"
business-and-financial,compliance-officers,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,Compliance Officers,"$80,730     per year
                                        $38.81     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"436,400",4% (As fast as average),"16,700","32,700","$50,980",3%,"August 27, 2026"
architecture-and-engineering,environmental-engineers,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,Environmental Engineers,"$107,110     per year
                                        $51.50     per hour",Bachelor's degree,None,None,"39,100",6% (Faster than average),"2,400","2,300","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,taxi-drivers-and-chauffeurs,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,"Taxi Drivers, Shuttle Drivers, and Chauffeurs","$37,960     per year
                                        $18.25     per hour",No formal educational credential,None,Short-term on-the-job training,"455,700",9% (Much faster than average),"41,400","55,900","$50,980",3%,"August 27, 2026"
management,transportation-storage-and-distribution-managers,https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm,"Transportation, Storage, and Distribution Managers","$107,230     per year
                                        $51.55     per hour",High school diploma or equivalent,5 years or more,None,"228,100",6% (Faster than average),"14,000","18,300","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,air-traffic-controllers,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm,Air Traffic Controllers,"$148,080     per year
                                        $71.19     per hour",Associate's degree,None,Long-term on-the-job training,"24,000",2% (Slower than average),400,"2,100","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,environmental-science-and-protection-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,Environmental Science and Protection Technicians,"$55,090     per year
                                        $26.49     per hour",Associate's degree,None,None,"36,400",7% (Much faster than average),"2,500","5,300","$50,980",3%,"August 27, 2026"
production,metal-and-plastic-machine-workers,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,Metal and Plastic Machine Workers,"$47,700     per year
                                        $22.94     per hour",See How to Become One,None,Moderate-term on-the-job training,"963,000",-7% (Decline),"-63,000","78,100","$50,980",3%,"August 27, 2026"
math,mathematicians-and-statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,Mathematicians and Statisticians,"$105,720     per year
                                        $50.83     per hour",Master's degree,None,None,"33,500",10% (Much faster than average),"3,400","2,000","$50,980",3%,"August 27, 2026"
education-training-and-library,tutors,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,Tutors,"$43,350     per year
                                        $20.84     per hour","Some college, no degree",None,None,"208,400",0% (Little or no change),-500,"34,200","$50,980",3%,"August 27, 2026"
farming-fishing-and-forestry,fishers-and-related-fishing-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,Fishing and Hunting Workers,NA,No formal educational credential,None,Moderate-term on-the-job training,"28,200",-4% (Decline),"-1,200","3,300","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,small-engine-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,Small Engine Mechanics,"$49,710     per year
                                        $23.90     per hour",See How to Become One,None,See How to Become One,"77,500",3% (As fast as average),"2,400","7,700","$50,980",3%,"August 27, 2026"
production,food-and-tobacco-processing-workers,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,Food Processing Equipment Workers,"$41,230     per year
                                        $19.82     per hour",See How to Become One,None,Moderate-term on-the-job training,"297,000",5% (Faster than average),"15,100","36,600","$50,980",3%,"August 27, 2026"
legal,arbitrators-mediators-and-conciliators,https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,"Arbitrators, Mediators, and Conciliators","$75,530     per year
                                        $36.31     per hour",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"10,500",5% (Faster than average),500,300,"$50,980",3%,"August 27, 2026"
production,welders-cutters-solderers-and-brazers,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm,"Welders, Cutters, Solderers, and Brazers","$53,750     per year
                                        $25.84     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"437,700",2% (Slower than average),"10,300","40,300","$50,980",3%,"August 27, 2026"
healthcare,emts-and-paramedics,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,EMTs and Paramedics,"$48,150     per year
                                        $23.15     per hour",Postsecondary nondegree award,See How to Become One,None,"284,100",6% (Faster than average),"16,400","18,200","$50,980",3%,"August 27, 2026"
healthcare,orthotists-and-prosthetists,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,Orthotists and Prosthetists,"$81,110     per year
                                        $38.99     per hour",Master's degree,None,Internship/residency,"9,500",13% (Much faster than average),"1,200",700,"$50,980",3%,"August 27, 2026"
media-and-communication,interpreters-and-translators,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,Interpreters and Translators,"$60,170     per year
                                        $28.93     per hour",Bachelor's degree,None,None,"73,900",2% (Slower than average),"1,500","6,000","$50,980",3%,"August 27, 2026"
production,quality-control-inspectors,https://www.bls.gov/ooh/production/quality-control-inspectors.htm,Quality Control Inspectors,"$48,570     per year
                                        $23.35     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"602,000",3% (As fast as average),"15,200","66,700","$50,980",3%,"August 27, 2026"
management,entertainment-and-recreation-managers,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm,Entertainment and Recreation Managers,"$79,520     per year
                                        $38.23     per hour",Bachelor's degree,Less than 5 years,None,"43,900",6% (Faster than average),"2,700","5,100","$50,980",3%,"August 27, 2026"
healthcare,physician-assistants,https://www.bls.gov/ooh/healthcare/physician-assistants.htm,Physician Assistants,"$135,880     per year
                                        $65.33     per hour",Master's degree,None,None,"168,900",21% (Much faster than average),"35,700","11,500","$50,980",3%,"August 27, 2026"
construction-and-extraction,construction-equipment-operators,https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,Construction Equipment Operators,"$59,600     per year
                                        $28.66     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"534,100",4% (As fast as average),"21,800","42,500","$50,980",3%,"August 27, 2026"
personal-care-and-service,animal-care-and-service-workers,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,Animal Care and Service Workers,"$35,530     per year
                                        $17.08     per hour",High school diploma or equivalent,None,See How to Become One,"413,000",11% (Much faster than average),"46,100","69,400","$50,980",3%,"August 27, 2026"
healthcare,veterinarians,https://www.bls.gov/ooh/healthcare/veterinarians.htm,Veterinarians,"$130,100     per year
                                        $62.55     per hour",Doctoral or professional degree,None,None,"91,100",9% (Much faster than average),"8,600","3,100","$50,980",3%,"August 27, 2026"
media-and-communication,announcers,https://www.bls.gov/ooh/media-and-communication/announcers.htm,Announcers and DJs,$22.50     per hour,See How to Become One,None,See How to Become One,"38,700",-3% (Decline),"-1,000","3,700",NA,3%,"August 27, 2026"
architecture-and-engineering,electrical-and-electronics-engineers,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,Electrical and Electronics Engineers,"$125,040     per year
                                        $60.12     per hour",Bachelor's degree,None,None,"297,900",8% (Much faster than average),"23,400","16,300","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,anthropologists-and-archeologists,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm,Anthropologists and Archeologists,"$70,770     per year
                                        $34.02     per hour",Master's degree,None,None,"10,200",6% (Faster than average),600,800,"$50,980",3%,"August 27, 2026"
