occupation_link_text,url,group,slug
Biodiesel Engine Specialist,https://www.bls.gov/ooh/installation-maintenance-and-repair/diesel-service-technicians-and-mechanics.htm,installation-maintenance-and-repair,diesel-service-technicians-and-mechanics
Biogeographer,https://www.bls.gov/ooh/life-physical-and-social-science/geographers.htm,life-physical-and-social-science,geographers
Biomedical Electronics Technician,https://www.bls.gov/ooh/installation-maintenance-and-repair/medical-equipment-repairers.htm,installation-maintenance-and-repair,medical-equipment-repairers
Blind Aide,https://www.bls.gov/ooh/healthcare/home-health-aides-and-personal-care-aides.htm,healthcare,home-health-aides-and-personal-care-aides
Bobtailer,https://www.bls.gov/ooh/transportation-and-material-moving/delivery-truck-drivers-and-driver-sales-workers.htm,transportation-and-material-moving,delivery-truck-drivers-and-driver-sales-workers
Boiler Coverer,https://www.bls.gov/ooh/construction-and-extraction/insulation-workers.htm,construction-and-extraction,insulation-workers
Boiler Engineer,https://www.bls.gov/ooh/production/stationary-engineers-and-boiler-operators.htm,production,stationary-engineers-and-boiler-operators
Boiler Fitter,https://www.bls.gov/ooh/construction-and-extraction/boilermakers.htm,construction-and-extraction,boilermakers
Book Critic,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,media-and-communication,reporters-correspondents-and-broadcast-news-analysts
Book Illustrator,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,arts-and-design,craft-and-fine-artists
Book Sorter,https://www.bls.gov/ooh/education-training-and-library/library-technicians-and-assistants.htm,education-training-and-library,library-technicians-and-assistants
Border Guard,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,protective-service,police-and-detectives
Bottling Equipment Sales Representative,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,sales,wholesale-and-manufacturing-sales-representatives
Branch Lending Officer,https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,business-and-financial,loan-officers
Bridge Ironworker,https://www.bls.gov/ooh/construction-and-extraction/structural-iron-and-steel-workers.htm,construction-and-extraction,structural-iron-and-steel-workers
Bridge Painter,https://www.bls.gov/ooh/construction-and-extraction/painters-construction-and-maintenance.htm,construction-and-extraction,painters-construction-and-maintenance
Broadcast Producer,https://www.bls.gov/ooh/entertainment-and-sports/producers-and-directors.htm,entertainment-and-sports,producers-and-directors
Budget Analyst,https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,business-and-financial,budget-analysts
Building Custodian,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,building-and-grounds-cleaning,janitors-and-building-cleaners
Building Maintenance Mechanic,https://www.bls.gov/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm,installation-maintenance-and-repair,general-maintenance-and-repair-workers
Bulk Mail Clerk,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,office-and-administrative-support,postal-service-workers
Bus drivers,https://www.bls.gov/ooh/transportation-and-material-moving/bus-drivers.htm,transportation-and-material-moving,bus-drivers
Business Analyst,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,business-and-financial,management-analysts
Business Intelligence Developer,https://www.bls.gov/ooh/math/data-scientists.htm,math,data-scientists
C.N.A.,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,healthcare,nursing-assistants
Cable Television Installer,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,installation-maintenance-and-repair,telecommunications-equipment-installers-and-repairers-except-line-installers
Cadastral Mapper,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,architecture-and-engineering,cartographers-and-photogrammetrists
Calibration Technician,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,installation-maintenance-and-repair,calibration-technologists-and-technicians
Campaign Fundraiser,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,business-and-financial,fundraisers
Camp Counselor,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,personal-care-and-service,recreation-workers
Cancer Registrar,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,healthcare,health-information-technologists-and-medical-registrars
Cancer Researcher,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,life-physical-and-social-science,medical-scientists
Cardiac/Vascular Sonographer,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,healthcare,diagnostic-medical-sonographers
