group,slug,url,status
arts-and-design,fashion-designers,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,cached
sales,retail-sales-workers,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,cached
management,computer-and-information-systems-managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,cached
computer-and-information-technology,software-developers,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,cached
computer-and-information-technology,computer-systems-analysts,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,cached
computer-and-information-technology,computer-programmers,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,cached
healthcare,exercise-physiologists,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,cached
office-and-administrative-support,receptionists,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,cached
life-physical-and-social-science,zoologists-and-wildlife-biologists,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,cached
production,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,cached
architecture-and-engineering,architects,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,cached
management,architectural-and-engineering-managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,cached
education-training-and-library,career-and-technical-education-teachers,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,cached
architecture-and-engineering,civil-engineers,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,cached
construction-and-extraction,construction-and-building-inspectors,https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,cached
education-training-and-library,curators-museum-technicians-and-conservators,https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,cached
protective-service,security-guards,https://www.bls.gov/ooh/protective-service/security-guards.htm,cached
protective-service,fire-inspectors-and-investigators,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,cached
arts-and-design,art-directors,https://www.bls.gov/ooh/arts-and-design/art-directors.htm,cached
sales,models,https://www.bls.gov/ooh/sales/models.htm,cached
construction-and-extraction,hazardous-materials-removal-workers,https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,cached
transportation-and-material-moving,material-moving-machine-operators,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,cached
life-physical-and-social-science,chemical-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm,cached
media-and-communication,technical-writers,https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,cached
legal,paralegals-and-legal-assistants,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,cached
life-physical-and-social-science,physicists-and-astronomers,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,cached
entertainment-and-sports,athletes-and-sports-competitors,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,cached
entertainment-and-sports,coaches-and-scouts,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,cached
